A : in2,Cheng et al. 2016,Ho-Huu et al.2016,kaveh et al. 2009,Degertekin et al. 2019,This study,,
,,,,,a,b,c
G1,0.1,0.1,0.1033,0.1,-,0.1,-
G2,0.954,0.954,0.9184,0.954,1.081,0.954,1.081
G3,0.1,0.347,0.1202,0.347,0.347,0.347,0.44
G4,0.1,0.1,0.1009,0.1,0.1,0.1,0.347
G5,2.142,2.142,1.8664,2.142,2.142,2.142,2.142
G6,0.347,0.347,0.2826,0.347,0.347,0.347,0.44
G7,0.1,0.1,0.1,0.1,-,0.1,-
G8,3.131,3.131,2.9683,3.131,3.131,3.131,3.131
G9,0.1,0.347,0.1,0.1,0.347,0.1,0.347
G10,4.805,4.805,3.9456,4.805,4.805,4.805,4.805
G11,0.44,0.539,0.3742,0.44,0.44,0.44,0.44
G12,0.347,0.347,0.4501,0.347,-,0.347,-
G13,5.952,5.952,4.96029,5.952,5.952,5.952,5.952
G14,0.347,0.1,1.0738,0.1,0.1,0.1,0.539
G15,6.572,6.572,5.9785,6.572,6.572,6.572,6.572
G16,0.954,0.954,0.78629,0.954,0.539,0.954,0.954
G17,0.347,0.44,0.73743,0.1,-,0.347,0.1
G18,8.525,8.525,7.3809,8.525,8.525,8.525,8.525
G19,0.1,0.1,0.6674,0.539,0.954,0.1,0.347
G20,9.3,9.3,8.3,9.3,9.3,9.3,9.3
G21,1.081,0.954,1.19672,0.954,0.954,0.954,0.954
G22,0.347,1.081,1,0.1,-,1.081,-
G23,13.33,13.33,10.8262,13.33,13.33,13.33,13.33
G24,0.954,0.539,0.1,0.1,0.44,0.539,0.539
G25,13.33,14.29,11.6976,13.33,13.33,13.33,13.33
G26,1.764,2.142,1.388,0.954,1.174,2.142,1.081
G27,3.813,3.813,4.9523,5.952,5.952,3.813,5.952
G28,8.525,8.525,8.8,10.85,10.85,8.525,10.85
G29,17.17,17.17,14.6645,14.29,14.29,17.17,14.29
Best weight (lb),"27,163.59",27858.5,"25,156.50","27,282.57",27144,27575,27612.33483